LHipAngles,LKneeAngles,LAbsAnkleAngle,LAnkleAngles,RHipAngles,RKneeAngles,RAnkleAngles,RAbsAnkleAngle,LPelvisAngles,RPelvisAngles,LFootProgressAngles,RFootProgressAngles,          ,         ,LHipPower,   ,           ,LKneePower,   ,            ,LAnklePower,   ,            ,RHipPower,   ,           ,RKneePower,   ,            ,RAnklePower,   ,            ,LAnkleForce,            ,            ,RAnkleForce,           ,           ,RKneeForce,          ,       ,LKneeForce,           ,       ,RHipForce,        ,      ,LHipForce,       ,      ,LAnkleMoment,           ,          ,RAnkleMoment,           ,          ,RKneeMoment,        ,           ,LKneeMoment,        ,         ,RHipMoment,        ,        ,LHipMoment,        ,
-15.1952,-5.8715,6.961,8.9124,-5.1392,16.2571,17.8269,12.5847,0.20412,0.20412,-89.8486,-87.6941,-8.0963,-0.41145,NaN        ,NaN,NaN        ,NaN         ,NaN,NaN         ,NaN          ,NaN,NaN         ,NaN        ,NaN,NaN        ,NaN         ,NaN,NaN         ,NaN          ,NaN,NaN         ,NaN          ,NaN         ,NaN         ,NaN          ,NaN        ,NaN        ,NaN         ,NaN       ,NaN    ,NaN         ,NaN        ,NaN    ,NaN        ,NaN     ,NaN   ,NaN        ,NaN    ,NaN   ,NaN           ,NaN        ,NaN       ,NaN           ,NaN        ,NaN       ,NaN          ,NaN     ,NaN        ,NaN          ,NaN     ,NaN      ,NaN         ,NaN     ,NaN     ,NaN         ,NaN     ,NaN
-15.21,-5.8971,6.9501,8.8937,-5.1326,16.2473,17.8027,12.5596,0.2061,0.2061,-89.8473,-87.6831,-8.0656,-0.40675,NaN        ,NaN,NaN        ,NaN         ,NaN,NaN         ,NaN          ,NaN,NaN         ,NaN        ,NaN,NaN        ,NaN         ,NaN,NaN         ,NaN          ,NaN,NaN         ,NaN          ,NaN         ,NaN         ,NaN          ,NaN        ,NaN        ,NaN         ,NaN       ,NaN    ,NaN         ,NaN        ,NaN    ,NaN        ,NaN     ,NaN   ,NaN        ,NaN    ,NaN   ,NaN           ,NaN        ,NaN       ,NaN           ,NaN        ,NaN       ,NaN          ,NaN     ,NaN        ,NaN          ,NaN     ,NaN      ,NaN         ,NaN     ,NaN     ,NaN         ,NaN     ,NaN
-15.2219,-5.9166,6.9406,8.8781,-5.131,16.2412,17.7785,12.5376,0.20354,0.20354,-89.847,-87.6732,-8.0391,-0.40513,0,0,-0.00019995,0,0,0.000052267,0,0,-0.00012444,0,0,0.0012303,0,0,-0.0002313,0,0,-0.00035221,-0.14218,-0.0054259,-0.00019272,-0.14074,-0.019768,-0.0062197,-0.052775,-0.16144,0.57381,-0.036486,0.070946,0.59275,0.20286,-0.54115,1.472,-0.31986,0.59335,1.4285,-18.4195,7.6134E-16,-0.71829,-18.27,3.7677E-16,2.6269,-2.0179,30.3333,2.3263,4.5352,7.0034,0.95694,-57.2712,197.7904,-6.7211,101.6751,198.856,2.0522
-15.2309,-5.9302,6.9323,8.8655,-5.1344,16.2388,17.7543,12.5187,0.19651,0.19651,-89.8478,-87.6642,-8.0168,-0.40652,0,0,-0.00061155,0,0,0.000040352,0,0,-0.00011866,0,0,0.0017727,0,0,-0.00013241,0,0,-0.00027385,-0.14216,-0.0054122,-0.00018248,-0.14074,-0.019698,-0.0062312,-0.052715,-0.16129,0.57382,-0.036423,0.070981,0.59274,0.20296,-0.54103,1.4719,-0.32016,0.59329,1.4285,-18.4133,-1.9701E-15,-0.71818,-18.2743,1.9267E-15,2.6129,-1.9888,30.2916,2.3188,4.5793,7.0107,0.9579,-57.3531,197.6874,-6.7146,101.7635,198.8678,2.0687
-15.2371,-5.9382,6.9248,8.8557,-5.1427,16.24,17.7304,12.5031,0.18506,0.18506,-89.8493,-87.6564,-7.9988,-0.41067,0,0,-0.0010086,0,0,0.00002908,0,0,-0.00012262,0,0,0.0022865,0,0,-0.000030822,0,0,-0.00019184,-0.14214,-0.0053929,-0.00016104,-0.14073,-0.019628,-0.0062377,-0.052677,-0.16111,0.57375,-0.03637,0.071065,0.59271,0.20301,-0.54075,1.4719,-0.32044,0.59338,1.4283,-18.4026,9.283E-16,-0.7178,-18.2816,-1.8341E-16,2.5962,-1.959,30.2478,2.3078,4.6381,7.0194,0.95913,-57.4353,197.5196,-6.7121,101.8632,198.9357,2.0893
-15.2405,-5.9409,6.9175,8.8477,-5.1557,16.2448,17.7076,12.491,0.1693,0.1693,-89.8511,-87.65,-7.9858,-0.41708,0,0,-0.0013877,0,0,0.000018703,0,0,-0.00014175,0,0,0.0027558,0,0,0.000073987,0,0,-0.00010385,-0.1421,-0.0053785,-0.00013214,-0.14072,-0.01956,-0.006224,-0.052681,-0.16088,0.57365,-0.036369,0.071189,0.59268,0.203,-0.54033,1.4716,-0.32083,0.59347,1.4282,-18.3883,-5.9353E-16,-0.7177,-18.2898,-1.2148E-16,2.579,-1.9318,30.1873,2.2953,4.7025,7.0229,0.96044,-57.5186,197.2721,-6.7077,102.0221,199.0146,2.1113
-15.2412,-5.9394,6.9092,8.8406,-5.1731,16.253,17.6864,12.4831,0.14952,0.14952,-89.8529,-87.6456,-7.9783,-0.42529,0,0,-0.001741,0,0,9.2832E-06,0,0,-0.00018013,0,0,0.003156,0,0,0.00018055,0,0,-0.000011136,-0.14206,-0.0053726,-0.00010037,-0.1407,-0.01951,-0.0061783,-0.052648,-0.16066,0.57355,-0.036413,0.071346,0.59265,0.203,-0.53992,1.4715,-0.32133,0.5937,1.428,-18.3735,1.0236E-15,-0.71701,-18.2959,-8.544E-16,2.5643,-1.8888,30.1215,2.284,4.7702,7.0168,0.9633,-57.6558,197.0282,-6.7012,102.2379,199.1238,2.1354
-15.2392,-5.9345,6.8989,8.8331,-5.1942,16.2647,17.6677,12.4796,0.12617,0.12617,-89.8541,-87.6435,-7.9766,-0.43482,0,0,-0.0020659,0,0,6.4865E-07,0,0,-0.00023903,0,0,0.0034841,0,0,0.00028651,0,0,0.000082738,-0.14203,-0.0053851,-0.0000791,-0.14069,-0.019492,-0.0061244,-0.052609,-0.16052,0.57344,-0.036525,0.071519,0.59268,0.20298,-0.53955,1.4712,-0.3219,0.59396,1.4278,-18.3621,-8.8227E-16,-0.71634,-18.2989,-1.3161E-15,2.5533,-1.8391,30.0728,2.2751,4.8278,6.9989,0.96787,-57.8107,196.8587,-6.6985,102.5085,199.2315,2.1578
-15.2343,-5.9276,6.8853,8.8237,-5.2184,16.2798,17.6518,12.4805,0.099832,0.099832,-89.8542,-87.644,-7.9808,-0.44523,0,0,-0.0023689,0,0,-7.6936E-06,0,0,-0.00031696,0,0,0.0037436,0,0,0.00038716,0,0,0.00017232,-0.14202,-0.0054207,-0.000065017,-0.14068,-0.019517,-0.006046,-0.052499,-0.16053,0.57336,-0.03663,0.071673,0.59277,0.20293,-0.53942,1.4708,-0.32245,0.59435,1.4278,-18.3546,1.2948E-15,-0.71657,-18.2983,8.6522E-16,2.5477,-1.7648,30.0486,2.2701,4.8809,6.966,0.97373,-58.0038,196.8623,-6.6996,102.7635,199.356,2.1802
-15.2265,-5.9198,6.8673,8.8114,-5.2446,16.2982,17.6386,12.4856,0.071381,0.071381,-89.8531,-87.647,-7.9905,-0.45606,0,0,-0.0026604,0,0,-0.00001663,0,0,-0.0004108,0,0,0.0039397,0,0,0.00047524,0,0,0.00025146,-0.14202,-0.0054894,-0.000063163,-0.14068,-0.019587,-0.0059617,-0.05236,-0.16073,0.57327,-0.0367,0.071762,0.59296,0.20287,-0.5396,1.4704,-0.32281,0.59481,1.4279,-18.35,-2.0082E-15,-0.71953,-18.296,-1.1344E-15,2.5479,-1.6753,30.0558,2.2697,4.919,6.9155,0.97932,-58.2067,197.0892,-6.7062,102.9332,199.4616,2.1979
-15.2151,-5.9118,6.8442,8.7949,-5.272,16.32,17.6278,12.4942,0.041809,0.041809,-89.8505,-87.6522,-8.0049,-0.46691,0,0,-0.0029789,0,0,-0.000027606,0,0,-0.00051552,0,0,0.0041099,0,0,0.00054031,0,0,0.00031564,-0.14203,-0.0055969,-0.000079531,-0.14069,-0.019709,-0.0058865,-0.052203,-0.16122,0.57315,-0.036668,0.071755,0.59323,0.20259,-0.54014,1.4698,-0.3228,0.5954,1.4281,-18.3482,1.2428E-15,-0.72638,-18.294,3.6644E-16,2.5545,-1.5707,30.1139,2.2743,4.9388,6.85,0.98373,-58.3405,197.6154,-6.7238,102.9281,199.5563,2.2092
-15.1993,-5.9037,6.8154,8.7733,-5.2994,16.3447,17.619,12.5055,0.012396,0.012396,-89.8461,-87.6595,-8.023,-0.47738,0,0,-0.0033791,0,0,-0.000042827,0,0,-0.00062357,0,0,0.0042998,0,0,0.00057075,0,0,0.00036277,-0.14206,-0.0057457,-0.00011839,-0.14069,-0.019871,-0.005847,-0.052095,-0.162,0.57291,-0.036496,0.071619,0.5936,0.20206,-0.54108,1.469,-0.32226,0.59611,1.4286,-18.3494,-1.8551E-15,-0.73761,-18.2943,2.9939E-16,2.5649,-1.4664,30.2281,2.2819,4.9348,6.7693,0.98664,-58.3408,198.4483,-6.7568,102.6762,199.6267,2.2121
-15.1779,-5.8949,6.7807,8.7462,-5.3258,16.3721,17.6117,12.5187,-0.015481,-0.015481,-89.8399,-87.6686,-8.0438,-0.48695,0,0,-0.0039108,0,0,-0.000064714,0,0,-0.00072537,0,0,0.0045495,0,0,0.00055441,0,0,0.00039322,-0.1421,-0.005934,-0.00018552,-0.14069,-0.020056,-0.0058447,-0.052083,-0.16303,0.57254,-0.03617,0.071363,0.59399,0.20115,-0.54231,1.4681,-0.32108,0.59696,1.4291,-18.354,1.3253E-15,-0.75284,-18.2985,7.6269E-16,2.5767,-1.3706,30.3862,2.2903,4.9029,6.6796,0.98835,-58.1436,199.5344,-6.8038,102.1424,199.6689,2.2056
-15.1493,-5.8836,6.7406,8.7135,-5.3503,16.4015,17.6056,12.5331,-0.04037,-0.04037,-89.8318,-87.6798,-8.0661,-0.49499,0,0,-0.0046439,0,0,-0.000095364,0,0,-0.00081057,0,0,0.0049061,0,0,0.00047914,0,0,0.00040923,-0.14215,-0.0061585,-0.00028407,-0.14066,-0.020221,-0.0058712,-0.052265,-0.16413,0.57199,-0.035712,0.070996,0.5944,0.19972,-0.54349,1.4671,-0.31924,0.59798,1.4296,-18.3617,-1.1352E-15,-0.77082,-18.3068,7.6747E-16,2.5853,-1.3043,30.545,2.2951,4.8395,6.5821,0.9898,-57.6655,200.6747,-6.8573,101.3295,199.69,2.1893
-15.1116,-5.8672,6.6961,8.6754,-5.3724,16.4318,17.6005,12.5481,-0.060803,-0.060803,-89.8218,-87.6935,-8.0893,-0.50077,0,0,-0.0056186,0,0,-0.00013639,0,0,-0.00087054,0,0,0.0053847,0,0,0.00033731,0,0,0.0004154,-0.14221,-0.0063958,-0.00040708,-0.14061,-0.020352,-0.0059149,-0.05267,-0.16516,0.57132,-0.03514,0.070575,0.59476,0.19789,-0.54444,1.4661,-0.31676,0.59918,1.43,-18.3712,-1.3219E-15,-0.78805,-18.3188,1.5189E-15,2.5908,-1.2714,30.6813,2.2966,4.7533,6.4855,0.99371,-56.9218,201.7274,-6.9099,100.2619,199.7159,2.1682
-15.0631,-5.8426,6.6486,8.6328,-5.3914,16.4613,17.5966,12.5635,-0.075444,-0.075444,-89.81,-87.7106,-8.1128,-0.50356,0,0,-0.0068644,0,0,-0.00018817,0,0,-0.00089873,0,0,0.0059678,0,0,0.00013027,0,0,0.00041736,-0.14226,-0.0066483,-0.00054984,-0.14055,-0.020433,-0.0059701,-0.053342,-0.16597,0.57063,-0.034514,0.070142,0.59501,0.19557,-0.54479,1.4653,-0.31376,0.60057,1.4299,-18.3809,9.4759E-16,-0.80584,-18.3343,-1.0946E-15,2.5936,-1.2864,30.7794,2.2953,4.6471,6.3866,0.99786,-55.8904,202.5115,-6.9565,99.0066,199.763,2.1412
-15.002,-5.8067,6.5997,8.5862,-5.407,16.4884,17.5938,12.5792,-0.082928,-0.082928,-89.7966,-87.7321,-8.1367,-0.50277,0,0,-0.008365,0,0,-0.00025036,0,0,-0.00089281,0,0,0.0066069,0,0,-0.00012862,0,0,0.00042097,-0.14229,-0.0068946,-0.00069902,-0.1405,-0.020471,-0.0060351,-0.054293,-0.16641,0.57005,-0.033871,0.069776,0.59511,0.19313,-0.54431,1.465,-0.31024,0.60223,1.4297,-18.388,6.8656E-16,-0.82349,-18.3502,-1.0137E-15,2.5972,-1.359,30.8385,2.2947,4.538,6.2922,1.0017,-54.6598,202.8875,-6.9931,97.6075,199.8998,2.1128
